Thread 1 started (tid=1021260)
Thread 2 started (tid=1021261)
Thread 3 started (tid=1021262)
Thread 1 exiting
Thread 2 exiting
Thread 3 exiting
1 0 9839
3 19838 29854
2 39863 49933
1 59821 69949
3 79836 89961
2 99842 109959
1 119943 129949
3 139945 149944
2 159939 169938
1 179938 189936
3 199937 209938
2 219839 229938
1 239937 249838
3 259848 269938
2 279937 289938
1 299938 309937
3 319937 329937
2 339937 349938
1 359937 369937
3 379938 389979
2 399937 409938
1 419938 429942
3 439937 449939
2 459942 469939
1 479938 489942
3 499970 509939
2 519942 529937
1 539912 549919
3 559924 569932
2 579615 589614
